"LakeID","test_rmse","Lon_centre","Lat_centre"
"exper2_01",1.6746733,-72.0564,43.3758
"exper2_02",1.2730618,-89.4199,43.1053
"exper2_03",0.71729976,-2.9781,54.3956
"exper2_04",1.9167795,14.467,58.321
"exper2_05",2.2189293,14.127,46.628
"exper2_06",0.8252896,144.5489,43.5897
"exper2_07",0.9158728,176.5306,-38.0153
"exper2_08",0.9044272,176.2711,-38.0708
"exper2_09",1.1643289,-3.2244,54.6592
"exper2_10",0.9961575,-89.6995,46.0088
"exper2_11",0.9627281,-89.6712,46.0416
"exper2_12",0.6961669,-122.2667,47.6167
"exper2_13",0.71588266,-122.3337,47.6392
"exper2_14",0.92899036,10.9867,63.2403
"exper2_15",1.4033833,11.8322,63.5689
"exper2_16",0.644981,100.7888,27.7072
"exper2_17",1.0656102,118.9499,29.5589
"exper2_18",2.70413,117.3982,48.9463
"exper2_19",1.3353716,-3.378,56.197
"exper2_20",1.0422946,8.723,47.223
"exper2_22",1.9313781,11.0456,60.6941
"exper2_23",1.3912449,-92.8014,48.5736
"exper2_25",1.5705061,-93.1701,45.0431
"exper2_27",1.0377471,-88.8464,45.5268
"exper2_28",1.6221282,-92.9805,45.0773
"exper2_29",1.0210774,-93.2421,44.9085
"exper2_30",1.3722042,-88.4531,43.0989
"exper2_31",0.9074101,-88.6108,42.6044
"exper2_32",1.1992396,-82.0178,29.6878
"exper2_34",1.3021717,-75.0929,41.3762
"exper2_35",1.1625372,-75.2924,41.3817
"exper2_36",0.957536,-75.3629,41.3947
"exper2_37",0.96751666,26.0333,58.2833
"exper2_38",0.9483436,-74.892,42.768
"exper2_39",0.8525646,-95.1594,43.3844
"exper2_40",2.4157407,-82.41468,44.76036
"exper2_41",1.486344,-81.19387,42.23519
"exper2_42",1.5117121,-82.74656,42.41535
"exper2_43",1.071978,-114.40705,36.1496
"exper2_44",0.95946646,16.78102,47.87046
"exper2_45",0.82873577,18.57828,59.84518
"exper2_46",1.0542665,176.42018,-38.20126
"exper2_47",1.210903,15.0528,47.8528
